pokemon
abilities,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2
"['Overgrow', 'Chlorophyll']",49,Seed Pokémon,49,45,Fushigidaneフシギダネ,Bulbasaur,1,65,65,45,grass,poison
"['Overgrow', 'Chlorophyll']",62,Seed Pokémon,63,60,Fushigisouフシギソウ,Ivysaur,2,80,80,60,grass,poison
"['Overgrow', 'Chlorophyll']",100,Seed Pokémon,123,80,Fushigibanaフシギバナ,Venusaur,3,122,120,80,grass,poison
"['Blaze', 'Solar Power']",52,Lizard Pokémon,43,39,Hitokageヒトカゲ,Charmander,4,60,50,65,fire,
"['Blaze', 'Solar Power']",64,Flame Pokémon,58,58,Lizardoリザード,Charmeleon,5,80,65,80,fire,
"['Blaze', 'Solar Power']",104,Flame Pokémon,78,78,Lizardonリザードン,Charizard,6,159,115,100,fire,flying
"['Torrent', 'Rain Dish']",48,Tiny Turtle Pokémon,65,44,Zenigameゼニガメ,Squirtle,7,50,64,43,water,
"['Torrent', 'Rain Dish']",63,Turtle Pokémon,80,59,Kameilカメール,Wartortle,8,65,80,58,water,
"['Torrent', 'Rain Dish']",103,Shellfish Pokémon,120,79,Kamexカメックス,Blastoise,9,135,115,78,water,
"['Shield Dust', 'Run Away']",30,Worm Pokémon,35,45,Caterpieキャタピー,Caterpie,10,20,20,45,bug,
['Shed Skin'],20,Cocoon Pokémon,55,50,Transelトランセル,Metapod,11,25,25,30,bug,
"['Compoundeyes', 'Tinted Lens']",45,Butterfly Pokémon,50,60,Butterfreeバタフリー,Butterfree,12,90,80,70,bug,flying
"['Shield Dust', 'Run Away']",35,Hairy Pokémon,30,40,Beedleビードル,Weedle,13,20,20,50,bug,poison
['Shed Skin'],25,Cocoon Pokémon,50,45,Cocoonコクーン,Kakuna,14,25,25,35,bug,poison
"['Swarm', 'Sniper']",150,Poison Bee Pokémon,40,65,Spearスピアー,Beedrill,15,15,80,145,bug,poison
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,Tiny Bird Pokémon,40,40,Poppoポッポ,Pidgey,16,35,35,56,normal,flying
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,Bird Pokémon,55,63,Pigeonピジョン,Pidgeotto,17,50,50,71,normal,flying
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,Bird Pokémon,80,83,Pigeotピジョット,Pidgeot,18,135,80,121,normal,flying
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,Mouse Pokémon,35,30,Korattaコラッタ,Rattata,19,25,35,72,normal,dark
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,Mouse Pokémon,70,75,Rattaラッタ,Raticate,20,40,80,77,normal,dark
"['Keen Eye', 'Sniper']",60,Tiny Bird Pokémon,30,40,Onisuzumeオニスズメ,Spearow,21,31,31,70,normal,flying
"['Keen Eye', 'Sniper']",90,Beak Pokémon,65,65,Onidrillオニドリル,Fearow,22,61,61,100,normal,flying
"['Intimidate', 'Shed Skin', 'Unnerve']",60,Snake Pokémon,44,35,Arboアーボ,Ekans,23,40,54,55,poison,
"['Intimidate', 'Shed Skin', 'Unnerve']",95,Cobra Pokémon,69,60,Arbokアーボック,Arbok,24,65,79,80,poison,
"['Static', 'Lightningrod']",55,Mouse Pokémon,40,35,Pikachuピカチュウ,Pikachu,25,50,50,90,electric,
"['Static', 'Lightningrod', 'Surge Surfer']",85,Mouse Pokémon,50,60,Raichuライチュウ,Raichu,26,95,85,110,electric,electric
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,Mouse Pokémon,90,50,Sandサンド,Sandshrew,27,10,35,40,ground,ice
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,Mouse Pokémon,120,75,Sandpanサンドパン,Sandslash,28,25,65,65,ground,ice
"['Poison Point', 'Rivalry', 'Hustle']",47,Poison Pin Pokémon,52,55,Nidoran?ニドラン♀,Nidoran♀,29,40,40,41,poison,
"['Poison Point', 'Rivalry', 'Hustle']",62,Poison Pin Pokémon,67,70,Nidorinaニドリーナ,Nidorina,30,55,55,56,poison,
"['Poison Point', 'Rivalry', 'Sheer Force']",92,Drill Pokémon,87,90,Nidoqueenニドクイン,Nidoqueen,31,75,85,76,poison,ground
"['Poison Point', 'Rivalry', 'Hustle']",57,Poison Pin Pokémon,40,46,Nidoran?ニドラン♂,Nidoran♂,32,40,40,50,poison,
"['Poison Point', 'Rivalry', 'Hustle']",72,Poison Pin Pokémon,57,61,Nidorinoニドリーノ,Nidorino,33,55,55,65,poison,
"['Poison Point', 'Rivalry', 'Sheer Force']",102,Drill Pokémon,77,81,Nidokingニドキング,Nidoking,34,85,75,85,poison,ground
"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,Fairy Pokémon,48,70,Pippiピッピ,Clefairy,35,60,65,35,fairy,
"['Cute Charm', 'Magic Guard', 'Unaware']",70,Fairy Pokémon,73,95,Pixyピクシー,Clefable,36,95,90,60,fairy,
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,Fox Pokémon,40,38,Rokonロコン,Vulpix,37,50,65,65,fire,ice
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,Fox Pokémon,75,73,Kyukonキュウコン,Ninetales,38,81,100,109,fire,ice
"['Cute Charm', 'Competitive', 'Friend Guard']",45,Balloon Pokémon,20,115,Purinプリン,Jigglypuff,39,45,25,20,normal,fairy
"['Cute Charm', 'Competitive', 'Frisk']",70,Balloon Pokémon,45,140,Pukurinプクリン,Wigglytuff,40,85,50,45,normal,fairy
"['Inner Focus', 'Infiltrator']",45,Bat Pokémon,35,40,Zubatズバット,Zubat,41,30,40,55,poison,flying
"['Inner Focus', 'Infiltrator']",80,Bat Pokémon,70,75,Golbatゴルバット,Golbat,42,65,75,90,poison,flying
"['Chlorophyll', 'Run Away']",50,Weed Pokémon,55,45,Nazonokusaナゾノクサ,Oddish,43,75,65,30,grass,poison
"['Chlorophyll', 'Stench']",65,Weed Pokémon,70,60,Kusaihanaクサイハナ,Gloom,44,85,75,40,grass,poison
"['Chlorophyll', 'Effect Spore']",80,Flower Pokémon,85,75,Ruffresiaラフレシア,Vileplume,45,110,90,50,grass,poison
"['Effect Spore', 'Dry Skin', 'Damp']",70,Mushroom Pokémon,55,35,Parasパラス,Paras,46,45,55,25,bug,grass
"['Effect Spore', 'Dry Skin', 'Damp']",95,Mushroom Pokémon,80,60,Parasectパラセクト,Parasect,47,60,80,30,bug,grass
"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,Insect Pokémon,50,60,Kongpangコンパン,Venonat,48,40,55,45,bug,poison
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,Poison Moth Pokémon,60,70,Morphonモルフォン,Venomoth,49,90,75,90,bug,poison
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,Mole Pokémon,30,10,Digdaディグダ,Diglett,50,35,45,90,ground,ground
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,Mole Pokémon,60,35,Dugtrioダグトリオ,Dugtrio,51,50,70,110,ground,ground
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,Scratch Cat Pokémon,35,40,Nyarthニャース,Meowth,52,50,40,90,normal,dark
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,Classy Cat Pokémon,60,65,Persianペルシアン,Persian,53,75,65,115,normal,dark
"['Damp', 'Cloud Nine', 'Swift Swim']",52,Duck Pokémon,48,50,Koduckコダック,Psyduck,54,65,50,55,water,
"['Damp', 'Cloud Nine', 'Swift Swim']",82,Duck Pokémon,78,80,Golduckゴルダック,Golduck,55,95,80,85,water,
"['Vital Spirit', 'Anger Point', 'Defiant']",80,Pig Monkey Pokémon,35,40,Mankeyマンキー,Mankey,56,35,45,70,fighting,
"['Vital Spirit', 'Anger Point', 'Defiant']",105,Pig Monkey Pokémon,60,65,Okorizaruオコリザル,Primeape,57,60,70,95,fighting,
"['Intimidate', 'Flash Fire', 'Justified']",70,Puppy Pokémon,45,55,Gardieガーディ,Growlithe,58,70,50,60,fire,
"['Intimidate', 'Flash Fire', 'Justified']",110,Legendary Pokémon,80,90,Windieウインディ,Arcanine,59,100,80,95,fire,
"['Water Absorb', 'Damp', 'Swift Swim']",50,Tadpole Pokémon,40,40,Nyoromoニョロモ,Poliwag,60,40,40,90,water,
"['Water Absorb', 'Damp', 'Swift Swim']",65,Tadpole Pokémon,65,65,Nyorozoニョロゾ,Poliwhirl,61,50,50,90,water,
"['Water Absorb', 'Damp', 'Swift Swim']",95,Tadpole Pokémon,95,90,Nyorobonニョロボン,Poliwrath,62,70,90,70,water,fighting
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,Psi Pokémon,15,25,Caseyケーシィ,Abra,63,105,55,90,psychic,
"['Synchronize', 'Inner Focus', 'Magic Guard']",35,Psi Pokémon,30,40,Yungererユンゲラー,Kadabra,64,120,70,105,psychic,
"['Synchronize', 'Inner Focus', 'Magic Guard']",50,Psi Pokémon,65,55,Foodinフーディン,Alakazam,65,175,105,150,psychic,
"['Guts', 'No Guard', 'Steadfast']",80,Superpower Pokémon,50,70,Wanrikyワンリキー,Machop,66,35,35,35,fighting,
"['Guts', 'No Guard', 'Steadfast']",100,Superpower Pokémon,70,80,Gorikyゴーリキー,Machoke,67,50,60,45,fighting,
"['Guts', 'No Guard', 'Steadfast']",130,Superpower Pokémon,80,90,Kairikyカイリキー,Machamp,68,65,85,55,fighting,
"['Chlorophyll', 'Gluttony']",75,Flower Pokémon,35,50,Madatsubomiマダツボミ,Bellsprout,69,70,30,40,grass,poison
"['Chlorophyll', 'Gluttony']",90,Flycatcher Pokémon,50,65,Utsudonウツドン,Weepinbell,70,85,45,55,grass,poison
"['Chlorophyll', 'Gluttony']",105,Flycatcher Pokémon,65,80,Utsubotウツボット,Victreebel,71,100,70,70,grass,poison
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,Jellyfish Pokémon,35,40,Menokurageメノクラゲ,Tentacool,72,50,100,70,water,poison
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,Jellyfish Pokémon,65,80,Dokukurageドククラゲ,Tentacruel,73,80,120,100,water,poison
